Station,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2
,AvgSpeed,CodeSum,Cool,Depart,DewPoint,Heat,PrecipTotal,ResultDir,ResultSpeed,SeaLevel,SnowFall,StnPressure,Tavg,Tmax,Tmin,AvgSpeed,CodeSum,Cool,Depart,DewPoint,Heat,PrecipTotal,ResultDir,ResultSpeed,SeaLevel,SnowFall,StnPressure,Tavg,Tmax,Tmin,Daylight,Daylight,Latitude,Longitude,Latitude,Longitude
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-01,9.2, ,2.0,14.0,51,0.0,0.0,27,1.7,29.82,0.0,29.1,67.0,83,50,9.6, ,3.0,121.0,51,0.0,0.0,25,2.7,29.82,0.0,29.18,68.0,84,52,14.016666666666666,14.016666666666666,41.995,-87.933,41.786,-87.752
2007-05-02,13.4,BR,0.0,-3.0,42,14.0,0.0,4,13.0,30.09,0.0,29.38,51.0,59,42,13.4,BR HZ,0.0,106.0,42,13.0,0.0,2,13.3,30.08,0.0,29.44,52.0,60,43,14.049999999999999,14.049999999999999,41.995,-87.933,41.786,-87.752
2007-05-03,11.9, ,0.0,2.0,40,9.0,0.0,7,11.7,30.12,0.0,29.39,56.0,66,46,13.2,HZ,0.0,112.0,40,7.0,0.0,6,12.9,30.12,0.0,29.46,58.0,67,48,14.083333333333336,14.083333333333336,41.995,-87.933,41.786,-87.752
2007-05-04,10.8,RA,0.0,4.0,41,7.0,0.005,8,10.4,30.05,0.0,29.31,58.0,66,49,10.4, ,0.0,113.0,42,6.0,0.0,7,10.1,30.04,0.0,29.36,59.0,78,51,14.133333333333333,14.133333333333333,41.995,-87.933,41.786,-87.752
2007-05-05,12.0, ,0.0,5.0,38,5.0,0.005,7,11.7,30.1,0.0,29.4,60.0,66,53,11.5, ,0.0,115.0,39,5.0,0.005,7,11.2,30.09,0.0,29.46,60.0,66,54,14.166666666666666,14.166666666666666,41.995,-87.933,41.786,-87.752
2007-05-06,15.0, ,0.0,4.0,30,6.0,0.0,11,14.4,30.29,0.0,29.57,59.0,68,49,14.5, ,0.0,115.0,30,5.0,0.0,10,13.8,30.28,0.0,29.62,60.0,68,52,14.216666666666669,14.216666666666669,41.995,-87.933,41.786,-87.752
2007-05-07,10.5,RA,0.0,10.0,41,0.0,0.005,18,8.6,30.12,0.0,29.38,65.0,83,47,9.9, ,2.0,122.0,39,0.0,0.0,17,8.5,30.12,0.0,29.44,67.0,84,50,14.25,14.25,41.995,-87.933,41.786,-87.752
